player,position,team_name,player_game_count,grades_defense,snap_counts_defense,snap_counts_dl,,Avg Grade
Michael Davis,CB,LAC,14,54,851,4,,
Greg Mabin,CB,TEN,5,52,171,0,,
C.J. Board,WR,NYG,1,70.2,1,0,,
Jonathan Greenard,ED,HST,12,82.9,414,414,,
Kai Nacua,S,NYJ,1,55,11,1,,
Marcus Kemp,WR,KC,2,62,2,0,,
Demone Harris,ED,HST,3,67.3,58,58,,
Arthur Maulet,CB,PIT,15,57.5,380,61,,
Calvin Munson,LB,MIA,4,55.5,12,0,,
Corey Clement,HB,DAL,1,70.2,1,0,,
Jamal Perry,S,MIA,1,60,3,2,,
Joe Jones,LB,TEN,4,54,26,26,,
Caleb Johnson,LB,CHI,1,37.5,5,0,,
Sione Takitaki,LB,CLV,15,67.5,285,55,,
Kamal Martin,LB,CAR,3,26.2,11,0,,
Buddy Howell,HB,LA,1,60,1,0,,
Penny Hart,WR,SEA,1,60.1,1,0,,
Sam Beal,CB,NYG,3,70.8,3,0,,
Alexander Johnson,LB,DEN,6,80.9,323,21,,
Sam Eguavoen,LB,MIA,15,63.3,181,80,,
Justin Hardee,CB,NYJ,2,60.9,2,0,,
Roy Lopez,DI,HST,16,55.7,502,502,,
Ross Dwelley,TE,SF,1,59.9,1,0,,
Jacob Martin,ED,HST,17,67.3,700,700,,58.55294118
DeForest Buckner,DI,IND,17,71.9,843,830,,
Dylan Cole,LB,TEN,6,39.8,54,2,,
Antwaun Woods,DI,IND,7,60.8,74,74,,
Foyesade Oluokun,LB,ATL,17,47,1148,46,,
Deionte Thompson,S,ARZ,14,69,85,2,,
Levi Wallace,CB,BUF,19,62.8,1116,26,,
Dane Cruikshank,S,TEN,14,56.6,437,6,,
JaMycal Hasty,HB,SF,1,52.4,1,0,,
Grover Stewart,DI,IND,17,72.6,643,643,,
Clay Johnston,LB,CIN,7,54.1,94,6,,
Henry Black,S,GB,18,45.9,283,1,,
Tyler Mabry,TE,SEA,1,59.9,1,0,,
Jonathan Ward,HB,ARZ,1,60,1,0,,
Sean Murphy-Bunting,CB,TB,10,56.4,524,12,,
Al-Quadin Muhammad,ED,IND,17,64.6,800,799,,
Isaac Rochell,ED,IND,12,58.6,177,177,,
Mark Gilbert,CB,DET,4,76.3,47,3,,
Kemoko Turay,ED,IND,13,53.2,224,216,,
Ben Banogu,ED,IND,8,60.1,68,67,,
Freddie Swain,WR,SEA,1,59.9,1,0,,
Tyquan Lewis,ED,IND,8,71.3,311,311,,
Taylor Stallworth,DI,IND,16,60.9,331,331,,
C.J. Moore,S,DET,11,59.2,158,13,,
D.J. Reed,CB,SEA,14,78.6,1002,12,,
Isaiah Rodgers,CB,IND,17,70.7,525,0,,
Khalil Davis,DI,IND,1,56.4,6,6,,
Siran Neal,CB,BUF,12,48.5,171,19,,
Kwity Paye,ED,IND,15,69.6,638,636,,60.61071429
Dayo Odeyingbo,ED,IND,10,61.4,173,172,,
Devin Bush,LB,PIT,15,34.4,795,42,,
Chris Williams,DI,IND,8,49.5,62,62,,
David Long Jr.,CB,LA,18,60.8,671,5,,
Lerentee McCray,ED,JAX,11,60.8,71,62,,
Nick Bawden,FB,NYJ,1,60,1,0,,
D'Angelo Ross,CB,NE,4,64.1,68,0,,
Malcom Brown,DI,JAX,17,43.2,678,676,,
Ben Skowronek,WR,LA,1,60,1,0,,
Jihad Ward,ED,JAX,17,53.4,455,453,,
Adam Gotsis,DI,JAX,16,52.3,443,441,,
Roy Robertson-Harris,DI,JAX,14,53,547,547,,
Dawuane Smoot,ED,JAX,16,68.1,675,668,,
DaVon Hamilton,DI,JAX,16,52.8,443,441,,
Damon Arnette,CB,LV,4,32.9,61,0,,
Malik Harrison,LB,BLT,8,42.1,171,22,,
Jerome Baker,LB,MIA,16,60.9,971,410,,
Keandre Jones,LB,CIN,1,36.2,5,1,,
Jordan Smith,ED,JAX,2,27.8,21,21,,
Tremon Smith,CB,HST,7,58.3,179,3,,
Troy Dye,LB,MIN,3,60.6,54,0,,
