player,player_id,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,,Team Avg
Quintin Morris,61182,TE,BUF,17,55.2,71.9,64,,
Kirk Cousins,7102,QB,MIN,8,86.1,,60,,
Tim Jones,61669,WR,JAX,17,52,81,49.5,,
Tommy DeVito,60545,QB,NYG,9,62,,60.7,,
Jauan Jennings,48027,WR,SF,16,74.1,73,77.2,,
Tank Dell,78874,WR,HST,11,83.4,,50.1,,
Robert Tonyan,12193,TE,CHI,17,49.6,59.7,38.9,,
Jake Bobo,77997,WR,SEA,17,73.5,59.8,77.6,,
,,,,,,,,,
Saquon Barkley,45791,HB,NYG,14,70.2,76.6,56.4,,
Jakob Johnson,32565,FB,LV,13,46.1,83.1,49.9,,
Noah Brown,11993,WR,HST,11,73,66.9,53.5,,
Malik Heath,124173,WR,GB,13,60.1,28.9,61.8,,
Stone Smartt,60492,TE,LAC,16,44.1,48.1,31.9,,
Greg Dortch,42237,WR,ARZ,13,68.2,,44.9,,
,,,,,,,,,
Demario Douglas,104155,WR,NE,14,74.4,,58.5,,
Ian Thomas,42130,TE,CAR,12,56.9,32.7,62.1,,
Curtis Samuel,11795,WR,WAS,16,69.7,75,49.5,,
