player,player_id,position,team_name,player_game_count,grades_defense,snap_counts_defense,,
Sam Williams,99106,ED,DAL,18,68.2,314,,
Nahshon Wright,100412,CB,DAL,8,60.1,52,,
Mazi Smith,101419,DI,DAL,18,47.2,308,,63.27058824
Tyrus Wheat,124191,ED,DAL,7,40.7,32,,
Mike Purcell,8530,DI,DEN,16,49.8,463,,
Michael Burton,9601,FB,DEN,1,60,1,,
Alex Singleton,9994,LB,DEN,17,61.2,1089,,
Justin Simmons,10732,S,DEN,15,67.9,985,,
Dwayne Washington,10870,HB,DEN,1,60,1,,
Fabian Moreau,11836,CB,DEN,15,62.4,739,,
D.J. Jones,11953,DI,DEN,16,56.2,568,,
Tremon Smith,28196,CB,DEN,3,69.8,4,,
Justin Strnad,42659,LB,DEN,3,60,3,,
Jonathon Cooper,43021,ED,DEN,17,65.2,836,,
Elijah Garcia,44498,DI,DEN,3,44.4,31,,
Tyler Lancaster,48604,DI,DEN,3,29.8,42,,
Zach Allen,49605,DI,DEN,17,71.9,913,,
Josey Jewell,50720,LB,DEN,16,67.2,796,,
Ben Niemann,51099,LB,DEN,1,60,1,,
P.J. Locke,51189,S,DEN,12,64,538,,
Damarri Mathis,56143,CB,DEN,12,35.2,440,,
Matt Henningsen,56484,DI,DEN,17,46.6,226,,
Baron Browning,58095,ED,DEN,10,74.5,445,,
Caden Sterns,76725,S,DEN,1,62.5,2,,
Ronnie Perkins,76830,ED,DEN,7,38.9,149,,
Nik Bonitto,77196,ED,DEN,15,64,524,,
Delarrin Turner-Yell,77836,S,DEN,10,40.9,212,,
Pat Surtain II,83119,CB,DEN,17,69,1121,,
Riley Moss,83259,CB,DEN,8,66.5,25,,
Nate Adkins,87625,TE,DEN,2,60,2,,
Michael Bandy,91824,WR,DEN,1,60,1,,
Jonathan Harris,94361,DI,DEN,17,52,529,,57.85357143
Ja'Quan McMillian,100931,CB,DEN,15,68.4,669,,
JL Skinner,101311,S,DEN,1,59.1,1,,
Marvin Mims Jr.,122937,WR,DEN,1,60,1,,
Drew Sanders,123933,LB,DEN,15,37.2,260,,
Thomas Incoom,145694,ED,DEN,4,31.2,20,,
Tyson Alualu,5535,DI,DET,5,50.3,152,,
Romeo Okwara,11250,ED,DET,19,66.8,330,,
Charles Harris,11777,ED,DET,13,55.9,291,,
Alex Anzalone,11831,LB,DET,19,69.8,1189,,
Cameron Sutton,11850,CB,DET,20,52.3,1261,,
Jalen Reeves-Maybin,11879,LB,DET,13,88.6,121,,
Khalil Dorsey,27819,CB,DET,4,52.4,80,,
Levi Onwuzurike,43679,DI,DET,13,68.5,164,,
Benito Jones,44035,DI,DET,20,39.1,602,,
Julian Okwara,44152,ED,DET,9,60.2,120,,
Kindle Vildor,49346,CB,DET,9,49,388,,
C.J. Gardner-Johnson,49371,S,DET,6,61.7,291,,
Emmanuel Moseley,50430,CB,DET,1,60.6,2,,
Tracy Walker III,51266,S,DET,12,62.8,541,,
Will Harris,51336,CB,DET,14,43,195,,
Ifeatu Melifonwu,56203,S,DET,14,82.1,535,,
