player,player_id,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,snap_counts_block,,
Alec Pierce,78038,WR,IND,16,61.3,,57.2,222,,
Mike Williams,11762,WR,LAC,13,78.9,,46.6,222,,
Keith Smith,9302,FB,ATL,17,53.8,56,53.2,219,,
Pharaoh Brown,12247,TE,CLV,16,59.1,59.9,59.5,219,,
Christian Watson,66581,WR,GB,14,77.1,,59.6,218,,
Justin Watson,66915,WR,KC,19,53.5,83.1,46.7,215,,
Tre'Quan Smith,48228,WR,NO,15,69,66.2,60.6,214,,
Chris Moore,10741,WR,HST,16,63.2,70,48.1,213,,
Marquez Valdes-Scantling,47809,WR,KC,20,64.8,,42.1,212,,
Elijah Moore,84302,WR,NYJ,16,57.5,,43.5,212,,
Lecitus Smith,61069,G,ARZ,5,44.8,38.1,46.6,210,,
Kyle Pitts,83964,TE,ATL,10,72.7,70.9,52.2,210,,
Dillon Radunz,30551,G,TEN,10,40.3,78.1,39.7,280,,64.03522727
Marcus Cannon,6290,T,NE,5,63.7,53.6,66.2,207,,
DeVante Parker,9447,WR,NE,13,74.1,48.8,58.7,206,,
Brandin Cooks,8655,WR,HST,13,72.3,,62.5,205,,
Zach Pascal,12303,WR,PHI,20,61.1,48.8,76.7,205,,
Kalif Raymond,11028,WR,DET,17,72.1,72,47,204,,
Jordan Roos,12266,G,TEN,3,52.7,24.6,61,202,,
Corey Davis,11760,WR,NYJ,13,65.9,79.8,55.3,201,,
Robert Tonyan,12193,TE,GB,17,57.7,35.3,46.3,201,,
Ko Kieft,41372,TE,TB,18,62.7,68.6,65,201,,
Kyler Murray,38334,QB,ARZ,11,67.1,,60.8,201,,
